iter	RMSE
0	8.988039662
1	8.827482762
2	8.653280927
3	8.489199519
4	8.335138402
5	8.194942343
6	8.084204029
7	7.947657172
8	7.805139646
9	7.678470804
10	7.541819598
11	7.411853402
12	7.301361328
13	7.185438847
14	7.059231951
15	6.955695144
16	6.851853608
17	6.755882813
18	6.645837671
19	6.54040709
20	6.442096364
21	6.358299391
22	6.263878547
23	6.168025474
24	6.083891166
25	5.99770459
26	5.891310727
27	5.801672141
28	5.71676539
29	5.645554563
30	5.571544403
31	5.498598714
32	5.429716032
33	5.353562591
34	5.275898004
35	5.211918387
36	5.1521226
37	5.085567959
38	5.032403835
39	4.975156437
40	4.908176721
41	4.845500439
42	4.781142434
43	4.723935637
44	4.667104989
45	4.620321187
46	4.581955308
47	4.533899506
48	4.487390486
49	4.444772553
50	4.384103654
51	4.33096596
52	4.294880848
53	4.259500412
54	4.217097976
55	4.175348139
56	4.125777846
57	4.08195293
58	4.032409271
59	3.987663797
60	3.943495633
61	3.910956055
62	3.878714996
63	3.849470215
64	3.810322268
65	3.774558613
66	3.747630461
67	3.720447197
68	3.69298451
69	3.659952344
70	3.629073816
71	3.596588516
72	3.577520077
73	3.549002022
74	3.527911185
75	3.507460621
76	3.477964391
77	3.451416672
78	3.425691382
79	3.403625852
80	3.377182775
81	3.354219171
82	3.329109656
83	3.307258209
84	3.283232274
85	3.261161982
86	3.239626748
87	3.217789461
88	3.203564525
89	3.178152225
90	3.159989439
91	3.138399593
92	3.117427184
93	3.098525415
94	3.079978453
95	3.066807995
96	3.047098662
97	3.030540726
98	3.015604905
99	3.000875852
100	2.986660597
101	2.97285248
102	2.959974985
103	2.945378084
104	2.928111075
105	2.914396284
106	2.896586791
107	2.881605911
108	2.871300396
109	2.858766759
110	2.843655785
111	2.828695672
112	2.811639346
113	2.797172359
114	2.781674042
115	2.768662139
116	2.757888331
117	2.741804418
118	2.731286973
119	2.720227951
120	2.708498552
121	2.692863937
122	2.678209744
123	2.668165012
124	2.656906751
125	2.646834027
126	2.638590696
127	2.630981492
128	2.620172045
129	2.609855905
130	2.59970226
131	2.589308074
132	2.579877365
133	2.568695779
134	2.55943319
135	2.547249862
136	2.537868579
137	2.529669068
138	2.52029166
139	2.509704892
140	2.499709588
141	2.489568078
142	2.47476788
143	2.466204693
144	2.45800704
145	2.450549592
146	2.440483922
147	2.431678603
148	2.423955133
149	2.41271694
150	2.402116778
151	2.395013948
152	2.386555184
153	2.380618992
154	2.371108304
155	2.3605291
156	2.355081007
157	2.346456545
158	2.340577079
159	2.334857692
160	2.324732824
161	2.318039879
162	2.311137132
163	2.302260243
164	2.297642826
165	2.289968983
166	2.28173476
167	2.274156235
168	2.267824781
169	2.262130232
170	2.25430939
171	2.245037531
172	2.236923837
173	2.229734944
174	2.223539542
175	2.217453526
176	2.212424428
177	2.204582563
178	2.199626285
179	2.194138515
180	2.186596425
181	2.180869798
182	2.175628963
183	2.169155803
184	2.164400047
185	2.155421553
186	2.14874244
187	2.14264329
188	2.135861423
189	2.128756715
190	2.123197306
191	2.118046244
192	2.112972596
193	2.104254809
194	2.099399456
195	2.093158131
196	2.088412828
197	2.079899835
198	2.073810704
199	2.067891386
200	2.062615075
201	2.060398398
202	2.05745011
203	2.05374163
204	2.048662582
205	2.041743793
206	2.036532167
207	2.031607595
208	2.02665585
209	2.018133202
210	2.011537087
211	2.009029159
212	2.004524913
213	2.000877672
214	1.996725098
215	1.990919449
216	1.987555834
217	1.981886243
218	1.979094056
219	1.974345246
220	1.97130214
221	1.962462497
222	1.954959106
223	1.952789029
224	1.948211481
225	1.94242428
226	1.938410905
227	1.934937444
228	1.93207077
229	1.928566723
230	1.923816489
231	1.917002779
232	1.911329776
233	1.907518113
234	1.906309207
235	1.901374638
236	1.896530568
237	1.892165501
238	1.887501256
239	1.882268739
240	1.877094258
241	1.873084331
242	1.865587147
243	1.857314517
244	1.852089117
245	1.848720625
246	1.841748226
247	1.835270554
248	1.831079601
249	1.826333834
250	1.820415158
251	1.816866026
252	1.812808045
253	1.80801294
254	1.80239152
255	1.794677499
256	1.788525606
257	1.782447316
258	1.777966631
259	1.773479156
260	1.767763865
261	1.76290277
262	1.756265128
263	1.752404049
264	1.749835754
265	1.745399346
266	1.742664247
267	1.738272769
268	1.735334819
269	1.730034743
270	1.723672982
271	1.718743363
272	1.713941718
273	1.708545691
274	1.706229898
275	1.702051196
276	1.696531645
277	1.691827268
278	1.688230885
279	1.686477696
280	1.682061113
281	1.676832271
282	1.670925551
283	1.669630971
284	1.664679446
285	1.662393303
286	1.660519743
287	1.65791749
288	1.653661479
289	1.648047365
290	1.641955535
291	1.637793948
292	1.636454877
293	1.634288794
294	1.632181738
295	1.630006422
296	1.624630458
297	1.622423585
298	1.617674612
299	1.613244788
300	1.60825271
301	1.604552596
302	1.599301162
303	1.597189286
304	1.593034819
305	1.58881249
306	1.585328884
307	1.582181167
308	1.579070821
309	1.573188481
310	1.567956506
311	1.563335376
312	1.55906999
313	1.555362433
314	1.553015094
315	1.548635812
316	1.544779195
317	1.542817581
318	1.538445513
319	1.532549656
320	1.52741101
321	1.523994193
322	1.521610786
323	1.518281575
324	1.514173073
325	1.510351341
326	1.509803354
327	1.506586779
328	1.50300008
329	1.500367002
330	1.496939314
331	1.49272609
332	1.488696614
333	1.485561295
334	1.482716812
335	1.480006401
336	1.476767462
337	1.473365068
338	1.470610406
339	1.469519641
340	1.464387586
341	1.460497343
342	1.457633422
343	1.455049176
344	1.452371187
345	1.451218057
346	1.449459893
347	1.448598928
348	1.447223247
349	1.44612468
350	1.44316374
351	1.44088215
352	1.436542047
353	1.433676593
354	1.431062186
355	1.428989014
356	1.428114587
357	1.42476888
358	1.423400722
359	1.420540735
360	1.418124579
361	1.415622404
362	1.412876407
363	1.411038316
364	1.407406104
365	1.40344297
366	1.399579155
367	1.396623385
368	1.392434946
369	1.387042297
370	1.384209161
371	1.3805032
372	1.377080243
373	1.376332376
374	1.37455515
375	1.371317412
376	1.370349782
377	1.368662361
378	1.365523299
379	1.36329553
380	1.360102612
381	1.354645784
382	1.352903016
383	1.348253676
384	1.345768998
385	1.344120068
386	1.341190846
387	1.340131921
388	1.336124586
389	1.333555648
390	1.32959785
391	1.325156257
392	1.324313205
393	1.322992081
394	1.321077136
395	1.317570911
396	1.314699702
397	1.31206249
398	1.308219247
399	1.305652153
400	1.302506292
401	1.300371307
402	1.29587241
403	1.294268691
404	1.291182287
405	1.289159191
406	1.285779778
407	1.284909929
408	1.280714496
409	1.278512902
410	1.276223624
411	1.273294419
412	1.271790382
413	1.267222549
414	1.263982557
415	1.261129322
416	1.258553029
417	1.256609273
418	1.255126901
419	1.253548403
420	1.250931982
421	1.249671115
422	1.246766149
423	1.245089713
424	1.242811383
425	1.240697368
426	1.238770073
427	1.237193091
428	1.234236648
429	1.231468327
430	1.228427807
431	1.225542053
432	1.222052895
433	1.218270845
434	1.21552223
435	1.21205028
436	1.211175524
437	1.210184517
438	1.208513552
439	1.207681551
440	1.205546435
441	1.20280249
442	1.199658953
443	1.19894937
444	1.196382301
445	1.195685626
446	1.192366697
447	1.190189805
448	1.187089583
449	1.184189387
450	1.181612649
451	1.178868014
452	1.175322422
453	1.172960411
454	1.170180452
455	1.166249181
456	1.165231849
457	1.163461524
458	1.160772926
459	1.158008359
460	1.157125423
461	1.153300814
462	1.150783427
463	1.148957946
464	1.147650286
465	1.14522846
466	1.143807523
467	1.141593995
468	1.138930097
469	1.136953965
470	1.135141203
471	1.132182483
472	1.130679919
473	1.129797159
474	1.126992943
475	1.125394802
476	1.123482021
477	1.122902873
478	1.121815313
479	1.119143144
480	1.117416104
481	1.114906235
482	1.111675213
483	1.110710286
484	1.108552556
485	1.106181067
486	1.104649033
487	1.10189555
488	1.101015907
489	1.099403997
490	1.096474504
491	1.094692808
492	1.092239952
493	1.089735346
494	1.087639302
495	1.085810227
496	1.08429708
497	1.083468106
498	1.082380122
499	1.079316095
500	1.077852758
501	1.076288051
502	1.074514328
503	1.072557582
504	1.069417366
505	1.067064299
506	1.064876567
507	1.062968646
508	1.060727918
509	1.05936127
510	1.057891267
511	1.055691735
512	1.053608664
513	1.0520682
514	1.049540096
515	1.047962736
516	1.045966388
517	1.043749806
518	1.042942737
519	1.041042894
520	1.039151014
521	1.037269593
522	1.034571644
523	1.031773689
524	1.028968614
525	1.027257966
526	1.025755232
527	1.022247364
528	1.019785123
529	1.018770414
530	1.015628025
531	1.01325429
532	1.012405814
533	1.010466707
534	1.009398282
535	1.007337499
536	1.005043965
537	1.002343491
538	1.000148105
539	0.997277002
540	0.9962086327
541	0.9944582644
542	0.9921242363
543	0.99146885
544	0.989812648
545	0.9881685385
546	0.9867545409
547	0.9856676701
548	0.9838711572
549	0.9813758611
550	0.9808230659
551	0.978660942
552	0.9767048709
553	0.9748814951
554	0.9736941503
555	0.9720712975
556	0.9689240213
557	0.9673775848
558	0.9656360584
559	0.9635169274
560	0.9607091626
561	0.9600219767
562	0.9579655145
563	0.9557809848
564	0.9540042823
565	0.9523763254
566	0.9506721111
567	0.9494025503
568	0.9473778864
569	0.9455410784
570	0.9436405366
571	0.9419497161
572	0.940171048
573	0.9388166762
574	0.9381717285
575	0.9371490068
576	0.9362205023
577	0.9341263474
578	0.9325624622
579	0.9307667392
580	0.9285801801
581	0.9271291786
582	0.9247066992
583	0.9230773897
584	0.9209148981
585	0.9199246161
586	0.9190130022
587	0.9181691874
588	0.9165717317
589	0.9150055875
590	0.9131150407
591	0.9111241327
592	0.9092744831
593	0.9073570706
594	0.9053888176
595	0.9039082315
596	0.9027763623
597	0.9010699412
598	0.8989421308
599	0.8970737445
600	0.8959527386
601	0.8951415553
602	0.8929601323
603	0.8917209054
604	0.889644549
605	0.8879965325
606	0.8873603361
607	0.8856231856
608	0.8840769437
609	0.8824817389
610	0.8805938839
611	0.8789833344
612	0.8772535526
613	0.8761504861
614	0.8743689892
615	0.872510984
616	0.8716106136
617	0.8697722305
618	0.8677772257
619	0.8669254176
620	0.86516162
621	0.8631202479
622	0.8614690788
623	0.8593432466
624	0.8568109689
