iter	Passed	Remaining
0	2	2266
1	4	2327
2	7	2375
3	9	2329
4	12	2407
5	14	2460
6	17	2497
7	21	2648
8	24	2647
9	26	2598
10	28	2569
11	31	2553
12	33	2557
13	36	2556
14	39	2591
15	42	2630
16	45	2647
17	48	2627
18	51	2636
19	53	2640
20	56	2644
21	59	2656
22	62	2655
23	64	2640
24	67	2635
25	69	2619
26	72	2603
27	75	2612
28	77	2610
29	80	2608
30	83	2610
31	86	2603
32	89	2613
33	91	2605
34	94	2592
35	96	2592
36	99	2581
37	101	2557
38	103	2558
39	106	2557
40	117	2755
41	125	2871
42	130	2896
43	133	2904
44	141	2995
45	146	3030
46	152	3087
47	157	3127
48	161	3126
49	164	3129
50	168	3139
51	172	3142
52	175	3135
53	178	3133
54	183	3144
55	186	3137
56	189	3129
57	193	3148
58	197	3152
59	202	3167
60	206	3178
61	210	3179
62	215	3199
63	219	3208
64	223	3212
65	227	3225
66	237	3300
67	244	3344
68	248	3349
69	253	3374
70	259	3395
71	267	3443
72	273	3472
73	281	3525
74	285	3521
75	288	3510
76	293	3516
77	299	3539
78	302	3526
79	305	3516
80	308	3502
81	313	3506
82	317	3504
83	319	3486
84	324	3491
85	333	3543
86	336	3534
87	340	3527
88	343	3517
89	347	3511
90	351	3506
91	355	3506
92	358	3498
93	363	3499
94	367	3497
95	371	3497
96	375	3497
97	380	3498
98	383	3493
99	387	3491
100	392	3495
101	396	3492
102	403	3516
103	406	3499
104	419	3573
105	423	3571
106	427	3567
107	430	3554
108	433	3546
109	437	3541
110	441	3534
111	446	3537
112	450	3534
113	456	3551
114	461	3550
115	464	3543
116	469	3540
117	473	3540
118	477	3534
119	481	3527
120	483	3513
121	486	3501
122	488	3486
123	492	3476
124	495	3469
125	500	3470
126	503	3463
127	507	3456
128	511	3453
129	518	3468
130	520	3455
131	523	3445
132	526	3433
133	529	3422
134	533	3421
135	538	3417
136	541	3411
137	544	3403
138	548	3394
139	551	3388
140	555	3382
141	558	3373
142	561	3366
143	566	3367
144	570	3366
145	576	3373
146	587	3408
147	593	3415
148	597	3414
149	603	3417
150	608	3420
151	611	3413
152	616	3410
153	620	3406
154	624	3402
155	627	3395
156	631	3389
157	634	3381
158	638	3375
159	642	3371
160	647	3374
161	651	3367
162	654	3362
163	658	3357
164	661	3349
165	664	3340
166	668	3336
167	672	3329
168	675	3320
169	680	3322
170	687	3331
171	693	3340
172	700	3349
173	706	3355
174	713	3364
175	719	3369
176	725	3374
177	731	3377
178	735	3371
179	737	3361
180	741	3354
181	747	3357
182	751	3354
183	753	3343
184	757	3338
185	761	3334
186	766	3333
187	769	3323
188	772	3313
189	774	3301
190	776	3289
191	778	3277
192	781	3265
193	783	3253
194	785	3242
195	787	3229
196	789	3218
197	791	3207
198	794	3196
199	796	3186
200	798	3176
201	801	3165
202	803	3154
203	805	3143
204	809	3139
205	813	3135
206	817	3131
207	821	3127
208	825	3125
209	830	3123
210	834	3119
211	837	3113
212	841	3107
213	844	3101
214	848	3099
215	852	3092
216	855	3085
217	859	3082
218	863	3077
219	866	3073
220	871	3071
221	873	3061
222	876	3053
223	879	3046
224	882	3039
225	886	3035
226	889	3028
227	891	3019
228	894	3010
229	897	3005
230	901	3001
231	904	2995
232	908	2989
233	911	2982
234	914	2977
235	918	2973
236	921	2967
237	925	2961
238	928	2955
239	932	2952
240	935	2946
241	939	2941
242	942	2936
243	945	2927
244	946	2918
245	948	2908
246	950	2898
247	952	2889
248	955	2882
249	959	2879
250	963	2875
251	967	2870
252	970	2864
253	974	2861
254	977	2856
255	980	2850
256	984	2845
257	987	2841
258	991	2835
259	994	2831
260	998	2827
261	1005	2832
262	1010	2830
263	1015	2831
264	1019	2826
265	1023	2823
266	1027	2821
267	1032	2819
268	1037	2820
269	1043	2822
270	1051	2827
271	1055	2823
272	1060	2824
273	1065	2823
274	1070	2821
275	1075	2820
276	1081	2823
277	1086	2822
278	1090	2817
279	1092	2809
280	1094	2801
281	1097	2793
282	1099	2786
283	1102	2778
284	1104	2771
285	1106	2762
286	1108	2754
287	1110	2745
288	1112	2737
289	1114	2729
290	1117	2721
291	1119	2713
292	1121	2706
293	1123	2698
294	1125	2690
295	1127	2681
296	1129	2674
297	1131	2665
298	1133	2657
299	1135	2650
300	1138	2643
301	1140	2635
302	1142	2627
303	1144	2619
304	1146	2612
305	1148	2604
306	1150	2596
307	1152	2588
308	1154	2580
309	1155	2572
310	1158	2565
311	1159	2557
312	1161	2549
313	1163	2541
314	1166	2537
315	1169	2532
316	1172	2525
317	1174	2518
318	1176	2511
319	1178	2503
320	1180	2496
321	1182	2489
322	1184	2482
323	1186	2475
324	1188	2468
325	1190	2461
326	1193	2455
327	1195	2448
328	1197	2442
329	1199	2435
330	1202	2429
331	1203	2422
332	1205	2415
333	1208	2408
334	1210	2403
335	1212	2396
336	1215	2390
337	1217	2384
338	1219	2378
339	1221	2371
340	1224	2365
341	1226	2359
342	1228	2353
343	1231	2347
344	1233	2341
345	1235	2335
346	1237	2329
347	1239	2322
348	1245	2323
349	1248	2318
350	1250	2312
351	1253	2306
352	1254	2300
353	1256	2293
354	1259	2287
355	1261	2282
356	1263	2275
357	1265	2269
358	1267	2263
359	1269	2256
360	1271	2250
361	1273	2244
362	1275	2238
363	1277	2232
364	1280	2226
365	1282	2221
366	1284	2215
367	1286	2209
368	1289	2205
369	1292	2200
370	1294	2194
371	1296	2188
372	1298	2182
373	1300	2177
374	1303	2172
375	1305	2166
376	1307	2161
377	1310	2156
378	1312	2151
379	1315	2145
380	1317	2140
381	1319	2134
382	1321	2129
383	1324	2124
384	1326	2119
385	1328	2113
386	1331	2109
387	1333	2103
388	1336	2098
389	1338	2093
390	1341	2088
391	1342	2082
392	1344	2077
393	1348	2073
394	1350	2068
395	1352	2063
396	1354	2057
397	1356	2051
398	1358	2046
399	1360	2040
400	1362	2035
401	1365	2030
402	1367	2025
403	1369	2020
404	1371	2014
405	1374	2010
406	1377	2006
407	1379	2000
408	1380	1995
409	1382	1990
410	1384	1984
411	1386	1979
412	1388	1974
413	1391	1969
414	1393	1965
415	1395	1959
416	1398	1955
417	1403	1954
418	1405	1949
419	1407	1944
420	1411	1941
421	1417	1941
422	1419	1935
423	1421	1930
424	1423	1925
425	1425	1920
426	1426	1914
427	1428	1909
428	1430	1904
429	1432	1898
430	1434	1893
431	1435	1887
432	1438	1883
433	1439	1877
434	1442	1874
435	1444	1868
436	1446	1863
437	1448	1858
438	1450	1853
439	1452	1848
440	1454	1843
441	1456	1838
442	1460	1836
443	1463	1833
444	1466	1828
445	1468	1824
446	1471	1819
447	1473	1815
448	1475	1810
449	1477	1805
450	1478	1800
451	1481	1795
452	1483	1791
453	1485	1786
454	1488	1782
455	1490	1778
456	1492	1773
457	1494	1769
458	1497	1764
459	1499	1760
460	1501	1755
461	1503	1750
462	1505	1746
463	1508	1742
464	1510	1737
465	1512	1733
466	1514	1728
467	1516	1723
468	1518	1719
469	1521	1715
470	1523	1711
471	1526	1707
472	1529	1704
473	1531	1699
474	1534	1695
475	1536	1691
476	1538	1687
477	1540	1682
478	1542	1678
479	1544	1673
480	1546	1668
481	1549	1664
482	1551	1660
483	1553	1656
484	1555	1652
485	1557	1647
486	1560	1643
487	1562	1639
488	1564	1634
489	1567	1631
490	1569	1627
491	1572	1623
492	1574	1618
493	1576	1614
494	1578	1610
495	1580	1606
496	1582	1601
497	1584	1597
498	1587	1593
499	1589	1589
500	1591	1584
501	1593	1580
502	1595	1576
503	1597	1571
504	1599	1567
505	1601	1563
506	1603	1559
507	1605	1554
508	1607	1550
509	1609	1546
510	1612	1542
511	1613	1538
512	1616	1534
513	1618	1530
514	1620	1526
515	1623	1522
516	1625	1518
517	1627	1514
518	1629	1510
519	1631	1505
520	1633	1501
521	1635	1497
522	1637	1493
523	1639	1489
524	1642	1486
525	1644	1481
526	1646	1477
527	1648	1473
528	1650	1469
529	1652	1465
530	1654	1461
531	1656	1457
532	1658	1453
533	1660	1449
534	1663	1445
535	1665	1441
536	1667	1437
537	1669	1433
538	1671	1429
539	1673	1425
540	1675	1421
541	1677	1417
542	1679	1413
543	1681	1409
544	1683	1405
545	1685	1401
546	1687	1397
547	1689	1393
548	1692	1390
549	1694	1386
550	1695	1382
551	1697	1378
552	1700	1374
553	1702	1370
554	1705	1367
555	1708	1364
556	1710	1360
557	1712	1356
558	1714	1352
559	1717	1349
560	1719	1345
561	1721	1341
562	1723	1337
563	1725	1333
564	1727	1329
565	1729	1326
566	1731	1322
567	1733	1318
568	1735	1314
569	1737	1310
570	1739	1306
571	1740	1302
572	1742	1298
573	1744	1294
574	1746	1290
575	1747	1286
576	1749	1282
577	1751	1278
578	1753	1274
579	1755	1271
580	1757	1267
581	1759	1263
582	1761	1260
583	1763	1256
584	1765	1252
585	1767	1248
586	1769	1245
587	1772	1242
588	1775	1238
589	1776	1234
590	1778	1231
591	1781	1227
592	1783	1223
593	1785	1220
594	1787	1216
595	1790	1213
596	1792	1210
597	1794	1206
598	1796	1202
599	1798	1199
600	1800	1195
601	1802	1191
602	1804	1188
603	1806	1184
604	1809	1181
605	1810	1177
606	1812	1173
607	1814	1170
608	1817	1166
609	1820	1163
610	1822	1160
611	1824	1156
612	1826	1153
613	1828	1149
614	1830	1146
615	1832	1142
616	1835	1139
617	1837	1135
618	1838	1131
619	1840	1128
620	1842	1124
621	1845	1121
622	1847	1117
623	1849	1114
624	1851	1110
625	1854	1107
626	1856	1104
627	1858	1100
628	1860	1097
629	1862	1093
630	1865	1090
631	1867	1087
632	1869	1083
633	1871	1080
634	1874	1077
635	1876	1074
636	1878	1070
637	1880	1067
638	1882	1063
639	1884	1060
640	1889	1058
641	1892	1055
642	1894	1051
643	1896	1048
644	1898	1044
645	1900	1041
646	1903	1038
647	1905	1035
648	1907	1031
649	1909	1028
650	1911	1024
651	1913	1021
652	1915	1017
653	1917	1014
654	1919	1011
655	1922	1008
656	1924	1004
657	1926	1001
658	1928	997
659	1930	994
660	1932	991
661	1935	987
662	1936	984
663	1939	981
664	1941	977
665	1943	974
666	1945	971
667	1947	967
668	1949	964
669	1952	961
670	1954	958
671	1956	954
672	1958	951
673	1960	948
674	1962	944
675	1964	941
676	1968	939
677	1970	935
678	1972	932
679	1974	929
680	1977	926
681	1979	923
682	1981	919
683	1983	916
684	1986	913
685	1988	909
686	1990	906
687	1992	903
688	1995	900
689	1997	897
690	1999	894
691	2002	891
692	2004	887
693	2006	884
694	2008	881
695	2010	878
696	2012	875
697	2015	871
698	2016	868
699	2019	865
700	2020	862
701	2022	858
702	2025	855
703	2027	852
704	2029	849
705	2031	846
706	2033	842
707	2035	839
708	2037	836
709	2040	833
710	2042	830
711	2045	827
712	2047	823
713	2049	820
714	2051	817
715	2053	814
716	2055	811
717	2057	808
718	2060	805
719	2062	802
720	2064	798
721	2066	795
722	2069	792
723	2072	790
724	2076	787
725	2078	784
726	2080	781
727	2082	778
728	2084	774
729	2086	771
730	2088	768
731	2090	765
732	2092	762
733	2094	759
734	2097	756
735	2099	753
736	2101	750
737	2104	746
738	2106	743
739	2108	740
740	2111	737
741	2113	734
742	2114	731
743	2116	728
744	2119	725
745	2121	722
746	2124	719
747	2126	716
748	2128	713
749	2131	710
750	2133	707
751	2135	704
752	2137	701
753	2139	697
754	2141	694
755	2143	691
756	2145	688
757	2147	685
758	2149	682
759	2151	679
760	2153	676
761	2155	673
762	2157	670
763	2159	667
764	2161	663
765	2164	661
766	2166	658
767	2168	655
768	2170	651
769	2172	648
770	2174	645
771	2176	642
772	2178	639
773	2180	636
774	2183	633
775	2184	630
776	2186	627
777	2189	624
778	2191	621
779	2193	618
780	2195	615
781	2197	612
782	2199	609
783	2201	606
784	2203	603
785	2205	600
786	2207	597
787	2209	594
788	2212	591
789	2214	588
790	2216	585
791	2218	582
792	2220	579
793	2222	576
794	2225	573
795	2227	570
796	2229	567
797	2231	564
798	2234	562
799	2236	559
800	2238	556
801	2240	553
802	2242	550
803	2244	547
804	2247	544
805	2250	541
806	2252	538
807	2254	535
808	2256	532
809	2258	529
810	2260	526
811	2262	523
812	2264	520
813	2266	517
814	2268	515
815	2271	512
816	2273	509
817	2275	506
818	2277	503
819	2279	500
820	2281	497
821	2283	494
822	2285	491
823	2287	488
824	2289	485
825	2291	482
826	2293	479
827	2295	476
828	2297	473
829	2299	470
830	2301	468
831	2303	465
832	2305	462
833	2307	459
834	2309	456
835	2311	453
836	2313	450
837	2315	447
838	2317	444
839	2319	441
840	2322	439
841	2324	436
842	2326	433
843	2328	430
844	2330	427
845	2331	424
846	2334	421
847	2335	418
848	2337	415
849	2339	412
850	2341	409
851	2343	407
852	2345	404
853	2347	401
854	2349	398
855	2351	395
856	2353	392
857	2355	389
858	2357	387
859	2360	384
860	2362	381
861	2364	378
862	2366	375
863	2368	372
864	2370	369
865	2373	367
866	2375	364
867	2377	361
868	2379	358
869	2382	355
870	2384	353
871	2386	350
872	2388	347
873	2390	344
874	2392	341
875	2395	339
876	2397	336
877	2399	333
878	2402	330
879	2404	327
880	2406	325
881	2408	322
882	2410	319
883	2412	316
884	2414	313
885	2416	310
886	2419	308
887	2422	305
888	2425	302
889	2428	300
890	2430	297
891	2432	294
892	2434	291
893	2437	288
894	2439	286
895	2441	283
896	2444	280
897	2446	277
898	2448	275
899	2450	272
900	2452	269
901	2454	266
902	2456	263
903	2458	261
904	2460	258
905	2462	255
906	2464	252
907	2466	249
908	2468	247
909	2470	244
910	2473	241
911	2475	238
912	2477	236
913	2479	233
914	2482	230
915	2484	227
916	2486	225
917	2488	222
918	2490	219
919	2492	216
920	2494	213
921	2496	211
922	2499	208
923	2501	205
924	2504	203
925	2505	200
926	2507	197
927	2510	194
928	2512	191
929	2514	189
930	2516	186
931	2517	183
932	2519	180
933	2522	178
934	2524	175
935	2525	172
936	2527	169
937	2529	167
938	2531	164
939	2533	161
940	2535	158
941	2537	156
942	2539	153
943	2543	150
944	2548	148
945	2551	145
946	2553	142
947	2555	140
948	2557	137
949	2560	134
950	2562	132
951	2564	129
952	2566	126
953	2568	123
954	2570	121
955	2572	118
956	2575	115
957	2577	113
958	2579	110
959	2581	107
960	2583	104
961	2585	102
962	2588	99
963	2589	96
964	2592	94
965	2595	91
966	2597	88
967	2600	85
968	2602	83
969	2607	80
970	2610	77
971	2612	75
972	2614	72
973	2616	69
974	2618	67
975	2620	64
976	2622	61
977	2624	59
978	2626	56
979	2629	53
980	2631	50
981	2633	48
982	2635	45
983	2638	42
984	2640	40
985	2642	37
986	2644	34
987	2646	32
988	2649	29
989	2650	26
990	2652	24
991	2655	21
992	2657	18
993	2659	16
994	2661	13
995	2664	10
996	2666	8
997	2668	5
998	2670	2
999	2672	0
