iter	RMSE
0	8.837027954
1	8.668640586
2	8.502228469
3	8.332876007
4	8.163409848
5	8.012577882
6	7.86927455
7	7.725764454
8	7.597932083
9	7.462102483
10	7.337333674
11	7.201306109
12	7.082593019
13	6.97222423
14	6.867090346
15	6.742375776
16	6.65432776
17	6.540564376
18	6.441766516
19	6.341505334
20	6.236481825
21	6.153798788
22	6.074533245
23	5.99712892
24	5.904334344
25	5.810874381
26	5.71771254
27	5.648621471
28	5.572728659
29	5.48906237
30	5.407954126
31	5.337440113
32	5.256098031
33	5.188468134
34	5.126206422
35	5.058978056
36	5.00059169
37	4.922530192
38	4.853417985
39	4.783679712
40	4.727328162
41	4.667582926
42	4.601072598
43	4.547213039
44	4.492720741
45	4.450535382
46	4.396068885
47	4.35188613
48	4.300411827
49	4.247249579
50	4.205311178
51	4.155415103
52	4.116788194
53	4.074378093
54	4.026180056
55	3.987216175
56	3.95001568
57	3.913903112
58	3.877982129
59	3.837269173
60	3.80854386
61	3.772736629
62	3.740102494
63	3.707866093
64	3.68327006
65	3.646711948
66	3.619152792
67	3.582922094
68	3.557396483
69	3.530939522
70	3.495677987
71	3.471179223
72	3.442972642
73	3.420187379
74	3.394403557
75	3.371435295
76	3.344647926
77	3.319899946
78	3.294753488
79	3.274471279
80	3.250676908
81	3.229438182
82	3.203614912
83	3.176517525
84	3.155270696
85	3.12534642
86	3.100028458
87	3.08089046
88	3.055577639
89	3.038476149
90	3.019152614
91	3.00022248
92	2.983239765
93	2.966775693
94	2.95098323
95	2.931921292
96	2.911885034
97	2.892320122
98	2.875364067
99	2.859570331
100	2.842664006
101	2.822914916
102	2.804904926
103	2.793514758
104	2.778048732
105	2.76509022
106	2.748684355
107	2.73438227
108	2.720307883
109	2.707136148
110	2.691831742
111	2.679924934
112	2.669559269
113	2.656548915
114	2.643572265
115	2.629709546
116	2.615339949
117	2.600542981
118	2.586962549
119	2.577370104
120	2.56796485
121	2.558964469
122	2.546384728
123	2.533271299
124	2.52141964
125	2.510739476
126	2.500573061
127	2.488989346
128	2.480000222
129	2.471456134
130	2.462253517
131	2.451838031
132	2.441687853
133	2.43163808
134	2.421504572
135	2.411696482
