iter	Passed	Remaining
0	12	2826
1	32	3760
2	46	3538
3	67	3834
4	82	3717
5	93	3484
6	111	3540
7	127	3551
8	138	3389
9	153	3370
10	169	3377
11	188	3432
12	204	3411
13	237	3659
14	245	3514
15	257	3447
16	271	3406
17	291	3438
18	303	3369
19	313	3289
20	334	3325
21	350	3317
22	360	3243
23	375	3221
24	401	3290
25	437	3430
26	460	3462
27	483	3489
28	491	3404
29	508	3390
30	523	3357
31	544	3369
32	560	3344
33	579	3341
34	598	3333
35	609	3285
36	623	3252
37	634	3203
38	652	3196
39	666	3165
40	681	3139
41	699	3130
42	715	3111
43	729	3082
44	744	3062
45	766	3064
46	785	3056
47	806	3056
48	823	3040
49	843	3035
50	858	3013
51	872	2988
52	886	2960
53	900	2935
54	937	2983
55	950	2954
56	972	2952
57	1004	2978
58	1006	2917
59	1043	2957
60	1053	2918
61	1064	2883
62	1077	2855
63	1084	2811
64	1090	2769
65	1097	2726
66	1099	2673
67	1105	2633
68	1111	2594
69	1117	2555
70	1123	2516
71	1129	2479
72	1135	2442
73	1141	2406
74	1147	2371
75	1153	2338
76	1159	2304
77	1166	2272
78	1172	2241
79	1179	2210
80	1185	2180
81	1191	2151
82	1198	2122
83	1204	2094
84	1212	2067
85	1218	2039
86	1224	2012
87	1230	1985
88	1236	1959
89	1240	1929
90	1246	1903
91	1252	1878
92	1258	1854
93	1264	1829
94	1270	1805
95	1276	1782
96	1283	1759
97	1289	1736
98	1295	1714
99	1302	1692
100	1308	1671
101	1314	1649
102	1320	1628
103	1327	1607
104	1333	1586
105	1339	1566
106	1344	1546
107	1351	1526
108	1357	1506
109	1363	1487
110	1369	1467
111	1375	1449
112	1382	1430
113	1388	1413
114	1395	1395
115	1402	1378
116	1409	1360
117	1415	1343
118	1421	1325
119	1427	1308
120	1429	1288
121	1435	1270
122	1441	1254
123	1447	1237
124	1456	1223
125	1462	1206
126	1468	1190
127	1474	1174
128	1480	1158
129	1486	1143
130	1492	1127
131	1499	1113
132	1505	1097
133	1511	1082
134	1517	1068
135	1526	1054
136	1532	1039
137	1538	1025
138	1544	1011
139	1551	997
140	1558	983
141	1565	970
142	1573	957
143	1580	944
144	1587	930
145	1593	916
146	1600	903
147	1607	890
148	1614	877
149	1621	864
150	1627	851
151	1634	838
152	1640	825
153	1647	812
154	1653	799
155	1660	787
156	1666	774
157	1673	762
158	1679	750
159	1687	738
160	1695	726
161	1704	715
162	1713	704
163	1721	692
164	1731	682
165	1743	672
166	1753	661
167	1760	649
168	1767	637
169	1775	626
170	1781	614
171	1789	603
172	1796	591
173	1804	580
174	1812	569
175	1822	559
176	1830	548
177	1839	537
178	1847	526
179	1855	515
180	1862	504
181	1870	493
182	1877	482
183	1884	471
184	1892	460
185	1899	449
186	1907	438
187	1914	427
188	1922	416
189	1930	406
190	1940	396
191	1947	385
192	1956	375
193	1965	364
194	1972	354
195	1979	343
196	1986	332
197	1993	322
198	1999	311
199	2006	300
200	2013	290
201	2019	279
202	2026	269
203	2034	259
204	2041	249
205	2049	238
206	2056	228
207	2064	218
208	2070	208
209	2077	197
210	2083	187
211	2091	177
212	2098	167
213	2104	157
214	2109	147
215	2116	137
216	2122	127
217	2128	117
218	2135	107
219	2142	97
220	2148	87
221	2155	77
222	2160	67
223	2167	58
224	2173	48
225	2179	38
226	2186	28
227	2190	19
228	2196	9
229	2202	0
