iter	RMSE
0	9.247583681
1	9.093246
2	8.942618119
3	8.773826558
4	8.60554447
5	8.448451446
6	8.284707257
7	8.14595928
8	8.011812547
9	7.881648201
10	7.733265329
11	7.598528243
12	7.468153227
13	7.356447066
14	7.234459356
15	7.117302174
16	7.002866644
17	6.884545228
18	6.763575034
19	6.654161197
20	6.53526985
21	6.424912637
22	6.317316144
23	6.202782596
24	6.102740548
25	6.007006532
26	5.920803374
27	5.829291768
28	5.753466272
29	5.670814706
30	5.594614315
31	5.523785316
32	5.447101331
33	5.361862808
34	5.297148357
35	5.218525542
36	5.155148091
37	5.093571344
38	5.019527786
39	4.946352407
40	4.877580346
41	4.809563641
42	4.760330623
43	4.695873015
44	4.641264495
45	4.58245843
46	4.526741897
47	4.469536843
48	4.418601634
49	4.368589825
50	4.315899231
51	4.265011131
52	4.214330791
53	4.160200956
54	4.114970741
55	4.065864859
56	4.024656928
57	3.989525119
58	3.94668704
59	3.905071853
60	3.871501574
61	3.837554984
62	3.804790521
63	3.767488635
64	3.731636283
65	3.695034973
66	3.666719741
67	3.635242955
68	3.595637941
69	3.558135567
70	3.531253511
71	3.496868675
72	3.464607124
73	3.436347747
74	3.405872969
75	3.380443288
76	3.352316046
77	3.329576084
78	3.300017425
79	3.278867411
80	3.252939326
81	3.227684575
82	3.209674824
83	3.18905537
84	3.165508404
85	3.145920648
86	3.124420073
87	3.102751987
88	3.08357434
89	3.066193898
90	3.046806735
91	3.025895386
92	3.009101317
93	2.992390478
94	2.975488832
95	2.95733958
96	2.937998713
97	2.92082124
98	2.902768731
99	2.88557633
100	2.868346085
101	2.855360158
102	2.838123948
103	2.825279614
104	2.807246316
105	2.789247375
106	2.77521964
107	2.760831439
108	2.744649503
109	2.729924771
110	2.717177765
111	2.702038015
112	2.68675016
113	2.674837399
114	2.664536631
115	2.650503772
116	2.637528928
117	2.623490731
118	2.609875129
119	2.59808991
120	2.584472652
121	2.57701201
122	2.567879791
123	2.559088332
124	2.549687018
125	2.537384089
126	2.528000448
127	2.51721947
128	2.506597002
129	2.495150416
130	2.487330836
131	2.475621178
132	2.466811111
133	2.456463277
134	2.445100302
135	2.436249912
136	2.422121755
137	2.413272203
138	2.404742618
139	2.396214835
140	2.388052312
141	2.378961079
142	2.370734881
143	2.361199916
144	2.352651074
145	2.344848285
146	2.340252957
147	2.332400681
148	2.321540258
149	2.313216952
150	2.30518771
151	2.296514279
152	2.287901616
153	2.27857287
154	2.271526689
155	2.265235361
156	2.259523765
157	2.252320939
158	2.245915323
159	2.238613772
160	2.233130141
161	2.229128529
162	2.220931425
163	2.213938915
164	2.206401491
165	2.201730653
166	2.195547944
167	2.187619715
168	2.18064409
169	2.173369587
170	2.166286435
171	2.159328775
172	2.151759076
173	2.146771513
174	2.138487679
175	2.13158146
176	2.12676834
177	2.120317607
178	2.112660264
179	2.108745571
180	2.100262462
181	2.092198995
182	2.083740884
183	2.078058409
184	2.070666569
185	2.063209075
186	2.058940831
187	2.052803119
188	2.045968703
189	2.039494182
190	2.030623452
191	2.023401796
192	2.015444199
193	2.008153753
194	2.004058017
195	1.999053945
196	1.993072592
197	1.986844246
198	1.981533189
199	1.973935083
200	1.96930106
201	1.96357842
202	1.953733322
203	1.946591414
204	1.940952463
205	1.93528815
206	1.929770153
207	1.923413531
208	1.918836785
209	1.91323771
210	1.90851405
211	1.901724525
212	1.89648399
213	1.890717795
214	1.884676139
215	1.879322323
216	1.874806381
217	1.869130085
218	1.864876207
219	1.86000507
220	1.857046003
221	1.851715974
222	1.845044299
223	1.840511276
224	1.83487895
225	1.8308841
226	1.826175525
227	1.821646651
228	1.817796043
229	1.812304798
230	1.804783189
231	1.800367191
232	1.795670238
233	1.791310591
234	1.786550711
235	1.781846314
236	1.776386872
237	1.772041783
238	1.766928233
239	1.761818385
240	1.757527598
241	1.750664278
242	1.743787914
243	1.739595628
244	1.735506295
245	1.730838205
246	1.724596873
247	1.721679735
248	1.71420743
249	1.709856717
250	1.705532772
251	1.70221156
252	1.699009819
253	1.694571503
254	1.690693798
255	1.687930795
256	1.681925284
257	1.677671424
258	1.672730686
259	1.666067901
260	1.66307032
261	1.658416621
262	1.654642247
263	1.650231342
264	1.646058869
265	1.64284151
266	1.640290273
267	1.637908552
268	1.63235845
269	1.627828902
270	1.62331672
271	1.61892428
272	1.615043194
273	1.611675934
274	1.60638986
275	1.602027052
276	1.598947786
277	1.595893435
278	1.591909415
279	1.586218975
280	1.583167516
281	1.579143868
282	1.575223535
283	1.570370164
284	1.567224122
285	1.560197695
286	1.556410455
287	1.553201841
288	1.549614457
289	1.546851776
290	1.542878477
291	1.537865238
292	1.533511524
293	1.528213619
294	1.52461845
295	1.521744575
296	1.519523076
297	1.514201887
298	1.509203212
299	1.503841546
300	1.499034555
301	1.496467872
302	1.492914035
303	1.488644001
304	1.486046304
305	1.48361788
306	1.480300647
307	1.477144346
308	1.473454274
309	1.471692757
310	1.468892952
311	1.465094823
312	1.462723668
313	1.457477181
314	1.452788671
315	1.44815139
316	1.445894714
317	1.442460404
318	1.439289096
319	1.434257912
320	1.430481262
321	1.426763477
322	1.424815586
323	1.422904277
324	1.421242103
325	1.41827327
326	1.413073247
327	1.407515204
328	1.40532907
329	1.401995888
330	1.399840425
331	1.396297509
332	1.393116377
333	1.390399842
334	1.387055475
335	1.382318085
336	1.378930772
337	1.376724127
338	1.373717378
339	1.370548766
340	1.365100941
341	1.362612318
342	1.359201847
343	1.355433566
344	1.353694585
345	1.351102461
346	1.348643728
347	1.345140608
348	1.343342855
349	1.338136508
350	1.336298477
351	1.331413582
352	1.328297979
353	1.326477974
354	1.323889527
355	1.320973607
356	1.318479255
357	1.316323734
358	1.313322084
359	1.311166082
360	1.308498656
361	1.306092948
362	1.302183555
363	1.297631936
364	1.295090478
365	1.290781629
366	1.288349109
367	1.284654162
368	1.280520693
369	1.27832589
370	1.276594361
371	1.274133306
372	1.272625154
373	1.269189103
374	1.266419527
375	1.263175804
376	1.260044785
377	1.255175968
378	1.251059407
379	1.246695659
380	1.244101693
381	1.242631064
382	1.238685315
