iter	Passed	Remaining
0	4	4236
1	8	4185
2	11	3811
3	15	3791
4	21	4248
5	28	4691
6	40	5812
7	43	5438
8	49	5454
9	55	5458
10	61	5550
11	68	5656
12	76	5813
13	79	5594
14	84	5554
15	88	5455
16	92	5371
17	97	5292
18	102	5307
19	109	5365
20	116	5410
21	122	5438
22	132	5623
23	138	5633
24	142	5562
25	170	6379
26	181	6530
27	184	6414
28	194	6505
29	201	6503
30	207	6491
31	212	6422
32	216	6338
33	222	6319
34	229	6335
35	236	6322
36	243	6330
37	254	6444
38	259	6399
39	280	6727
40	291	6811
41	302	6891
42	306	6826
43	312	6788
44	315	6699
45	319	6632
46	321	6521
47	325	6445
48	329	6398
49	336	6384
50	339	6310
51	344	6276
52	346	6194
53	348	6110
54	351	6046
55	355	5984
56	358	5933
57	361	5878
58	372	5934
59	375	5887
60	380	5857
61	383	5801
62	389	5796
63	393	5757
64	409	5887
65	412	5832
66	416	5801
67	421	5777
68	427	5765
69	430	5717
70	435	5692
71	440	5679
72	445	5659
73	450	5635
74	453	5591
75	457	5567
76	462	5542
77	467	5524
78	470	5483
79	474	5453
80	477	5422
81	483	5415
82	486	5374
83	492	5369
84	496	5349
85	499	5312
86	504	5292
87	508	5271
88	513	5255
89	517	5236
90	524	5237
91	530	5230
92	533	5201
93	540	5212
94	547	5213
95	551	5189
96	561	5228
97	570	5254
98	577	5258
99	590	5310
100	602	5364
101	607	5344
102	613	5341
103	622	5359
104	630	5374
105	633	5341
106	639	5341
107	649	5366
108	654	5347
109	662	5360
110	666	5341
111	670	5319
112	678	5326
113	683	5308
114	686	5282
115	692	5277
116	700	5283
117	708	5292
118	714	5287
119	718	5268
120	724	5263
121	727	5232
122	732	5224
123	742	5243
124	745	5217
125	752	5220
126	756	5200
127	762	5197
128	767	5179
129	773	5175
130	781	5185
131	786	5172
132	797	5195
133	799	5169
134	806	5165
135	810	5151
136	824	5190
137	831	5191
138	833	5165
139	838	5153
140	844	5145
141	857	5182
142	860	5159
143	868	5162
144	878	5177
145	882	5159
146	888	5155
147	896	5160
148	903	5158
149	909	5155
150	915	5146
151	920	5134
152	927	5136
153	931	5118
154	935	5101
155	940	5087
156	950	5102
157	954	5087
158	958	5069
159	967	5077
160	974	5080
161	980	5069
162	990	5087
163	994	5071
164	1000	5061
165	1008	5066
166	1015	5065
167	1018	5042
168	1023	5032
169	1026	5010
170	1029	4989
171	1037	4994
172	1041	4977
173	1044	4956
174	1047	4937
175	1051	4924
176	1056	4914
177	1062	4904
178	1066	4892
179	1072	4884
180	1077	4875
181	1080	4857
182	1084	4843
183	1089	4833
184	1097	4832
185	1105	4838
186	1112	4838
187	1115	4817
188	1120	4808
189	1133	4832
190	1140	4832
191	1149	4836
192	1153	4823
193	1162	4830
194	1166	4813
195	1170	4803
196	1178	4802
197	1181	4784
198	1188	4784
199	1191	4766
200	1198	4763
201	1201	4748
202	1209	4747
203	1215	4743
204	1223	4743
205	1233	4754
206	1238	4745
207	1243	4733
208	1254	4746
209	1256	4725
210	1268	4744
211	1278	4751
212	1283	4743
213	1287	4729
214	1296	4733
215	1302	4727
216	1310	4730
217	1320	4737
218	1328	4739
219	1339	4749
220	1349	4756
221	1357	4756
222	1366	4760
223	1371	4752
224	1378	4746
225	1382	4733
226	1389	4732
227	1397	4730
