iter	RMSE
0	8.589667727
1	8.143449219
2	7.693469769
3	7.258300487
4	6.884945477
5	6.584433459
6	6.290314542
7	5.974741672
8	5.666423319
9	5.400448224
10	5.182540249
11	4.987253259
12	4.787781809
13	4.625101721
14	4.42279764
15	4.287071772
16	4.158477116
17	4.041351851
18	3.902511242
19	3.755895864
20	3.671277387
21	3.598796061
22	3.523929434
23	3.442952778
24	3.350064399
25	3.254828416
26	3.171990617
27	3.112953547
28	3.05557702
29	2.990103485
30	2.925302931
31	2.887268222
32	2.835376464
33	2.787514684
34	2.730745171
35	2.685156353
36	2.642500671
37	2.60336212
38	2.57120714
39	2.537729833
40	2.513919108
41	2.487650921
42	2.449784251
43	2.430659072
44	2.400630782
45	2.381339388
46	2.353848454
47	2.335126311
48	2.310744901
49	2.294103866
50	2.264809741
51	2.240025343
52	2.21705607
53	2.202769026
54	2.181741834
55	2.159175414
56	2.13958548
57	2.127182908
58	2.10213533
59	2.090420391
60	2.067240055
61	2.052819241
62	2.040654478
63	2.028357233
64	2.02266366
65	2.010656056
66	1.998618493
67	1.986394456
68	1.974720639
69	1.964470046
70	1.942187754
71	1.93222484
72	1.902191525
73	1.883118161
74	1.872864848
75	1.864839219
76	1.855318103
77	1.836095414
78	1.809957005
79	1.803036947
80	1.794726504
81	1.787463278
82	1.77848227
83	1.767345692
84	1.761816666
85	1.753293751
86	1.742523323
87	1.739457194
88	1.730561352
89	1.72596879
90	1.71107499
91	1.689283827
92	1.67272638
93	1.656092276
94	1.643165415
95	1.638028815
96	1.616068395
97	1.611840276
98	1.60888233
99	1.605956679
100	1.589291757
101	1.570782836
102	1.556516877
103	1.543706286
104	1.531201598
105	1.517689477
106	1.51336408
107	1.497219167
108	1.483280569
109	1.476950248
110	1.472014555
111	1.465315043
112	1.463562484
113	1.461184121
114	1.443709283
115	1.435433516
116	1.419576112
117	1.407645005
118	1.38869603
119	1.375739486
120	1.370370602
121	1.353784059
122	1.343114888
123	1.323759885
124	1.321726386
125	1.31566893
126	1.296345576
127	1.287592738
128	1.271373659
129	1.260650326
130	1.256784538
131	1.245511492
132	1.243206974
133	1.229746906
134	1.217404484
135	1.211333978
136	1.198180553
137	1.193977637
138	1.182650077
139	1.164863526
