iter	Passed	Remaining
0	4	735
1	6	474
2	7	386
3	9	347
4	10	319
5	12	306
6	13	293
7	15	282
8	16	272
9	17	264
10	19	265
11	21	262
12	23	258
13	24	253
14	26	249
15	27	246
16	29	242
17	30	237
18	32	236
19	33	231
20	35	229
21	36	225
22	38	222
23	40	222
24	41	220
25	43	217
26	44	215
27	46	212
28	47	209
29	48	206
30	50	204
31	51	201
32	53	199
33	54	197
34	55	194
35	57	193
36	59	191
37	60	189
38	62	189
39	65	191
40	68	194
41	73	201
42	77	206
43	79	205
44	81	203
45	83	201
46	85	200
47	87	199
48	89	197
49	91	196
50	93	194
51	95	192
52	96	190
53	98	188
54	100	186
55	102	184
56	104	182
57	106	181
58	107	179
59	109	177
60	111	175
61	112	172
62	114	171
63	116	169
64	119	168
65	121	166
66	123	166
67	125	164
68	127	163
69	129	161
70	131	159
71	134	158
72	136	156
73	138	155
74	140	153
75	142	152
76	144	150
77	147	149
78	150	148
79	152	146
80	155	146
81	157	144
82	161	144
83	165	143
84	169	143
85	173	143
86	177	142
87	179	141
88	182	139
89	186	138
90	188	136
91	190	134
92	192	132
93	194	130
94	196	128
95	199	126
96	201	124
97	203	122
98	205	120
99	207	118
100	209	116
101	212	114
102	214	112
103	216	110
104	219	108
105	221	106
106	225	105
107	228	103
108	230	101
109	232	99
110	235	97
111	238	95
112	240	93
113	244	92
114	249	90
115	252	89
116	255	87
117	257	85
118	260	83
119	262	81
120	265	79
121	268	76
122	270	74
123	271	72
124	274	70
125	275	67
126	278	65
127	279	63
128	282	61
129	285	59
130	288	57
131	291	55
132	293	52
133	294	50
134	297	48
135	299	46
136	300	43
137	302	41
138	304	39
139	306	37
