iter	Passed	Remaining
0	6	6490
1	7	3529
2	7	2452
3	8	2064
4	8	1725
5	9	1555
6	9	1398
7	10	1261
8	10	1155
9	10	1078
10	11	1067
11	12	1039
12	13	1006
13	13	969
14	14	928
15	14	893
16	14	865
17	15	847
18	16	844
19	17	837
20	17	819
21	18	815
22	18	796
23	19	786
24	19	774
25	20	759
26	20	754
27	21	741
28	21	728
29	22	727
30	22	715
31	23	714
32	24	706
33	25	727
34	27	750
35	28	749
36	29	756
37	30	772
38	34	842
39	35	840
40	36	850
41	38	872
42	39	875
43	40	875
44	41	874
45	42	879
46	42	866
47	43	857
48	43	849
49	44	845
50	45	841
51	45	830
52	46	822
53	46	815
54	48	836
55	49	829
56	49	821
57	50	822
58	51	814
59	52	816
60	54	832
61	54	823
62	54	815
63	55	806
64	55	803
65	58	822
66	60	844
67	61	849
68	63	851
69	63	849
70	65	852
71	65	850
72	66	843
73	66	836
74	67	835
75	68	829
76	68	823
77	69	817
78	69	810
79	73	842
80	73	838
81	74	835
82	75	831
83	75	826
84	76	825
85	77	820
86	78	819
87	78	816
88	79	812
89	79	808
90	80	802
91	81	808
92	82	802
93	82	798
94	83	797
95	84	793
96	84	791
97	85	785
98	90	828
99	91	825
100	92	825
101	93	819
102	93	817
103	95	819
104	95	814
105	98	826
106	106	887
107	107	885
108	108	885
109	108	881
110	109	878
111	110	874
112	111	874
113	111	868
114	112	864
115	112	859
116	113	858
117	114	856
118	115	856
119	116	852
120	120	875
121	121	877
122	124	885
123	124	880
124	125	879
125	126	877
126	127	873
127	127	869
128	128	864
129	129	866
130	130	864
131	130	861
132	131	856
133	132	854
134	132	851
135	133	847
136	133	843
137	134	842
138	135	839
139	136	835
140	136	831
141	137	828
142	137	824
143	138	821
144	139	819
145	140	820
146	140	816
147	142	818
148	143	817
149	143	814
150	144	813
151	148	830
152	150	831
153	150	826
154	154	840
155	154	838
156	156	838
157	156	836
158	157	833
159	158	832
160	160	835
161	160	831
162	161	828
163	161	824
164	162	821
165	165	829
166	167	833
167	167	831
168	168	830
169	169	829
170	171	829
171	172	828
172	172	825
173	173	825
174	174	824
175	176	824
176	176	820
177	176	816
178	177	814
179	178	812
180	179	811
181	179	808
182	180	806
183	181	803
184	182	802
185	182	800
186	183	798
187	184	797
188	185	797
189	186	795
190	187	794
191	188	792
192	189	791
193	190	790
194	190	787
195	191	784
196	192	783
197	192	780
198	209	842
199	211	845
200	212	843
201	213	842
202	219	861
203	224	875
204	224	871
205	233	899
206	233	896
207	234	892
208	239	908
209	240	905
210	241	902
211	242	899
212	242	897
213	243	894
214	244	890
215	244	888
216	245	886
217	246	883
218	247	880
219	247	878
220	248	875
221	249	873
222	250	871
223	250	868
224	251	865
225	251	862
226	252	858
227	253	858
228	253	854
229	254	852
230	255	850
231	257	851
232	257	849
233	258	845
234	259	843
235	262	850
236	263	847
237	263	844
238	264	843
239	265	841
240	266	839
241	266	835
242	267	833
243	268	830
244	269	831
245	272	836
246	274	836
247	278	845
248	279	842
249	279	839
250	280	836
251	280	833
252	281	831
253	282	828
254	282	826
255	283	823
256	284	821
257	284	818
258	284	815
259	285	812
260	287	814
261	288	811
262	289	810
263	289	808
264	290	806
265	291	804
266	291	800
267	292	798
268	296	804
269	296	801
270	296	798
271	297	796
272	301	803
273	302	800
274	302	797
275	302	794
276	303	792
277	303	789
278	304	786
279	304	783
280	305	781
281	307	782
282	307	779
283	308	777
284	308	774
285	309	771
286	309	768
287	310	766
288	310	764
289	312	764
290	312	762
291	313	759
292	314	758
293	314	755
294	315	753
295	315	751
296	316	748
297	316	745
298	317	743
299	317	741
300	318	739
301	318	736
302	319	734
303	319	732
304	320	729
305	320	727
306	321	725
307	321	722
308	322	720
309	322	718
310	324	719
311	325	718
312	326	716
313	326	714
314	327	711
315	328	711
316	330	711
317	333	716
318	335	716
319	337	717
320	338	716
321	339	714
322	341	715
323	343	716
324	344	715
325	345	714
326	347	714
327	348	713
328	350	714
329	351	713
330	353	714
331	354	712
332	354	710
333	355	708
334	355	705
335	355	703
336	356	701
337	356	699
338	357	696
339	358	696
340	359	694
341	359	691
342	360	689
343	360	687
344	361	685
345	361	683
346	362	681
347	362	679
348	363	677
349	363	675
350	364	674
351	365	672
352	365	670
353	366	668
354	367	666
355	367	665
356	368	663
357	368	661
358	369	659
359	369	657
360	370	655
361	370	653
362	371	651
363	372	650
364	372	648
365	373	646
366	373	644
367	374	642
368	375	641
369	375	639
370	376	637
371	376	635
372	378	635
373	379	634
374	379	633
375	380	631
376	380	629
377	381	627
378	383	627
379	383	625
380	383	623
381	384	622
382	385	620
383	385	619
384	386	617
385	387	615
386	387	614
387	388	612
388	388	610
389	389	608
390	390	607
391	390	605
392	391	604
393	391	602
394	392	600
395	392	598
396	393	597
397	395	597
398	395	595
399	395	593
400	396	591
401	396	590
402	397	588
403	397	586
404	398	585
405	398	583
406	399	581
407	399	580
408	400	578
409	401	577
410	401	575
411	402	573
412	403	573
413	404	571
414	404	570
415	405	568
416	405	567
417	406	565
418	407	564
419	407	562
420	408	561
421	408	559
